stemmed_tokens,clean_sangat
"['sangat', 'nyaman', 'baik', 'layan', 'fasilitas', 'bagus']","['nyaman', 'baik', 'bagus']"
"['kamar', 'bantal', 'guling', 'sangat', 'nyaman', 'sekali', 'kasur', 'makan', 'sesuai', 'restoran', 'enak', 'gugah', 'selera', 'terima', 'kasih']","['nyaman', 'sesuai', 'enak', 'gugah']"
"['acara', 'fasilitas', 'hotel', 'lengkap', 'kondisi', 'sangat', 'bagus', 'makan', 'enak', 'layan', 'prima', 'sigap', 'cekat', 'kalau', 'habis', 'selesai', 'makan', 'langsung', 'ambil', 'ramah']","['bagus', 'enak', 'cekat', 'ramah']"
"['layan', 'cukup', 'muas', 'kamar', 'nyaman', 'bersih', 'menu', 'restoran', 'enak']","['nyaman', 'bersih', 'enak']"
"['awal', 'inap', 'kamar']",[]
"['sangat', 'baik', 'bantu', 'mbak', 'lena']",['baik']
"['sarap', 'pagi', 'agam', 'enak', 'layan', 'atas', 'nama', 'sangat', 'ramah', 'baik']","['enak', 'ramah', 'baik']"
"['suka', 'sarap', 'pagi', 'enak', 'layan', 'atas', 'nama', 'baik', 'ramah', 'anak', 'cantik']","['enak', 'baik', 'ramah', 'cantik']"
"['hotel', 'nyaman', 'bersih', 'layan', 'ramah', 'lokasi', 'strategis', 'dekat', 'pusat', 'kota', 'mudah', 'mana', 'mana', 'sarap', 'enak', 'variatif', 'sangat', 'puas', 'inap', 'hotel']","['nyaman', 'bersih', 'ramah', 'enak', 'puas']"
"['tempat', 'nyaman', 'inap', 'jalan', 'bisnis', 'dinas', 'makan', 'pagi', 'banyak', 'enak', 'layan', 'sangat', 'bagus']","['nyaman', 'enak', 'bagus']"
"['bagus', 'staf', 'ramah', 'sarap', 'enak', 'bersih', 'kamar', 'bagus']","['bagus', 'ramah', 'enak', 'bersih', 'bagus']"
"['kamar', 'luas', 'bersih', 'nyaman', 'meski', 'interior', 'modern', 'menu', 'tradisional', 'enak', 'banyak', 'pilih', 'lokasi', 'cukup', 'strategis', 'giat', 'kota']","['bersih', 'nyaman', 'meski', 'enak']"
"['hotel', 'nyaman', 'sarap', 'banyak', 'pilih', 'layan', 'sangat', 'ramah']","['nyaman', 'ramah']"
"['inap', 'tepat', 'long', 'lama', 'hari', 'malam', 'alam', 'hari', 'informasi', 'hotel', 'umum', 'info', 'dapat', 'kunci', 'hampir', 'malam', 'sungguh', 'alam', 'luar']",[]
"['posisi', 'hotel', 'strategis', 'makan', 'enak', 'bersih', 'layan', 'ramah', 'baik']","['enak', 'bersih', 'ramah', 'baik']"
"['hotel', 'acara', 'temu', 'makan', 'enak', 'temu', 'botol', 'plastik', 'minum', 'semua', 'gelas', 'kaca', 'kamar', 'hotel']",['enak']
"['menu', 'sarap', 'beberapa', 'fasilitas', 'perlu', 'baik', 'sedia', 'sabun', 'toilet', 'dekat', 'ruang', 'sewu', 'baik', 'macet', 'ruang', 'kamar', 'bekas', 'rokok', 'sangat', 'ganggu', 'bersih', 'sisa', 'asap', 'rokok', 'endap']","['baik', 'sewu', 'baik', 'ganggu', 'bersih', 'endap']"
"['kemarin', 'komplain', 'soal', 'rasa', 'makan', 'hotel', 'puding', 'manis', 'tawar', 'rasa', 'komplain', 'sama', 'nama', 'manis', 'alhamdulillah', 'puding']",[]
"['kamar', 'bersih', 'rapi', 'layan']",['bersih']
"['alam', 'inap', 'sini', 'memang', 'acara', 'kantor', 'alam', 'pertama', 'dulu', 'tahun', 'lalu', 'entah', 'terlalu', 'sama', 'kondisi', 'hotel']",[]
"['mudah', 'jangkau', 'fasilitas', 'umum', 'layan']",[]
"['makan', 'enak', 'kamar', 'bagus', 'bersih', 'layan', 'muas']","['enak', 'bagus', 'bersih']"
"['sini', 'kamar', 'nyaman', 'jadi', 'tidur', 'nyenyak', 'sarap', 'pagi', 'sungguh', 'luar', 'biasa', 'menu', 'komplit', 'semua']",['nyaman']
"['nyaman', 'strategis', 'letak']",['nyaman']
"['hotel', 'layan', 'selalu', 'ramah', 'tangan']",['ramah']
"['makan', 'enak', 'tempat', 'bersih', 'layan']","['enak', 'bersih']"
"['hotel', 'nyaman', 'makan', 'enak', 'variatif', 'kopi', 'banyak', 'pilih', 'kamar', 'bersih', 'ramah', 'area', 'sangat', 'bantu', 'ramah', 'terima', 'kasih', 'bambang', 'sangat', 'ramah', 'baik', 'terima', 'kasih']","['nyaman', 'enak', 'bersih', 'ramah', 'ramah', 'bambang', 'ramah', 'baik']"
"['sarap', 'paling', 'bagus', 'banyak', 'pilih', 'layan', 'bagus']","['bagus', 'bagus']"
"['sarap', 'pagi', 'sangat', 'puas']",['puas']
"['kamar', 'lokasi', 'lumayan', 'dekat', 'tugu', 'makan', 'sederhana', 'tinggal']","['tugu', 'sederhana']"
"['cukup', 'lengkap', 'rasa', 'nikmat', 'aneka', 'makan', 'lokal', 'minum', 'sedia', 'layan', 'bantu', 'lena']",[]
"['jalan', 'utama', 'belah', 'kiri', 'masuk', 'kota', 'hotel', 'bintang', 'pasti', 'layan']","['kiri', 'pasti']"
"['layan', 'sangat', 'muas', 'bawa', 'bantu', 'sigap', 'baik', 'makan', 'banyak', 'pilih', 'enak', 'libur', 'jadi', 'tambah', 'senang', 'kesan', 'baik', 'lama']","['baik', 'enak', 'senang', 'baik']"
"['mohon', 'resepsionis', 'lelet', 'lebih', 'gesit', 'layan', 'layan', 'menit', 'sibuk', 'klik', 'klik', 'komputer', 'entah', 'klik', 'bayar', 'gagal', 'nyata', 'ulang', 'terus', 'lama', 'layan', 'kamar', 'bersih', 'luas']","['lelet', 'bersih']"
"['sarap', 'enak', 'layan', 'ramah', 'senang']","['enak', 'ramah', 'senang']"
"['makan', 'pagi', 'lengkap', 'kelas', 'bersih', 'layan', 'semua', 'ramah', 'murah', 'senyum']","['bersih', 'ramah']"
"['hotel', 'nyaman', 'baik', 'sangat', 'bantu', 'tamu']","['nyaman', 'baik']"
"['bagus', 'sarap', 'muas', 'semua', 'sedia']",['bagus']
"['layan', 'hotel', 'sangat', 'muas', 'variasi', 'menu', 'makan', 'cukup', 'lengkap', 'banyak', 'rasa', 'makan', 'kecewa']",['kecewa']
"['inap', 'hotel', 'nyaman', 'layan', 'bagus']","['nyaman', 'bagus']"
"['sarap', 'enak', 'beda', 'unik', 'hotel', 'pernah', 'bantu', 'lena']",['enak']
"['layan', 'atas', 'nama', 'cukup', 'muas', 'ramah', 'murah', 'senyum']",['ramah']
['layan'],[]
"['alam', 'senang', 'inap', 'sini', 'layan', 'cukup', 'informatif']","['senang', 'informatif']"
"['kamar', 'luas', 'sangat', 'dingin', 'kamar', 'mandi', 'luas', 'anak', 'jadi', 'senang', 'renang', 'sarap', 'enak', 'variasi']","['senang', 'enak']"
"['layan', 'ramah', 'kamar', 'bersih', 'wangi']","['ramah', 'bersih', 'wangi']"
"['kamar', 'keren', 'layan', 'muas', 'dekat', 'hotel', 'inap', 'sini', 'bakal', 'bikin', 'rugi']","['keren', 'rugi']"
"['masuk', 'hotel', 'sambut', 'patung', 'interior', 'khas', 'interior', 'kamar', 'kental', 'nuansa', 'budaya', 'suka', 'sama', 'lampu', 'bentuk', 'stupa']","['patung', 'kental', 'nuansa', 'bentuk']"
"['enak', 'mantap', 'paling', 'favorit', 'soto', 'tangkar', 'kamar', 'bersih', 'rapi', 'orang', 'ramah']","['enak', 'tangkar', 'bersih', 'ramah']"
"['kamar', 'arah', 'balkon', 'over', 'suka', 'pilih', 'banyak', 'sangat']",['over']
"['inap', 'alam', 'pertama', 'buat', 'ruang', 'bersih', 'hotel', 'unik', 'banyak', 'motif', 'candi', 'kamar', 'nyaman', 'buat', 'istirahat', 'hari', 'ruang', 'nyaman', 'banget', 'hotel']","['bersih', 'nyaman', 'istirahat', 'nyaman']"
"['masuk', 'kamar', 'tambah', 'lampu', 'lebih', 'terang', 'kamar', 'susah']",[]
"['beberapa', 'kali', 'sini', 'umum', 'muas', 'bersih', 'makan', 'lumayan', 'enak', 'layan', 'muas', 'cuman', 'minum', 'sedikit', 'moga', 'solusi', 'tambah', 'minum']","['bersih', 'enak']"
"['enak', 'kamar', 'bersih', 'wangi', 'aroma', 'wangi', 'emang', 'beda', 'sama', 'hotel', 'hotel', 'enak', 'banget', 'mahal', 'banget', 'wangi']","['enak', 'bersih', 'wangi', 'wangi', 'emang', 'enak', 'wangi']"
"['ruang', 'bersih', 'resepsionis', 'sangat', 'tanggap', 'malam', 'lengkap', 'enak', 'segar', 'semua', 'hangat', 'layan', 'tanggap', 'utama', 'sangat']","['bersih', 'enak']"
"['lokasi', 'hotel', 'strategis', 'beberapa', 'kali', 'undang', 'acara', 'hotel', 'sempat', 'beberapa', 'kali', 'pilih', 'hotel', 'acara', 'hasil', 'selalu', 'muas', 'layan', 'baik', 'dukung', 'staf', 'ramah', 'terima', 'kasih']","['baik', 'dukung', 'ramah']"
"['nasi', 'gudeg', 'kurang', 'ayam', 'tepung', 'tulang', 'merah', 'lain', 'lumayan']",['merah']
"['hotel', 'nyaman', 'posisi', 'tengah', 'kota', 'tugas', 'ramah', 'cepat', 'beri', 'layan', 'segi', 'makan', 'banyak', 'aneka', 'ragam', 'jajan', 'jajan', 'anggap', 'silah', 'coba', 'terima', 'kasih']","['nyaman', 'ramah']"
"['alhamdulillah', 'nyaman', 'inap', 'sini', 'kamar', 'bersih', 'layan', 'ramah', 'atas', 'layan', 'beri']","['nyaman', 'bersih', 'ramah']"
"['hotel', 'bagus', 'kamar', 'bagus', 'enak', 'cukup', 'lengkap', 'lokasi', 'strategis', 'bagus', 'punya', 'alam', 'kurang', 'puas', 'layan', 'kamar', 'teman', 'tinggal', 'beberapa', 'barang', 'kamar', 'mandi']","['bagus', 'bagus', 'enak', 'bagus', 'puas']"
"['layan', 'baik', 'kamar', 'bersih', 'bagus', 'akses', 'sangat', 'mudah', 'sistem', 'aman', 'baik', 'cuma', 'rendah', 'naik', 'motor', 'sapa', 'malah', 'diam', 'curiga', 'bawa', 'mobil', 'kalau', 'hormat']","['baik', 'bersih', 'bagus', 'baik']"
"['hotel', 'bagus', 'bagai', 'sisi', 'mulai', 'layan', 'kamar', 'makan', 'lokasi', 'mudah', 'jangkau']",['bagus']
"['layan', 'sini', 'sangat', 'bagus', 'enak', 'orang', 'ramah']","['bagus', 'enak', 'ramah']"
"['layan', 'hotel', 'sangat', 'bagus', 'makan', 'enak', 'variasi', 'banyak', 'kamar', 'bagus', 'lega', 'fasilitas', 'lengkap', 'muas']","['bagus', 'enak', 'bagus']"
"['layan', 'ramah', 'sesuai', 'kota', 'senang', 'harap', 'sini', 'fasilitas', 'hotel', 'sangat', 'lengkap', 'terima', 'kasih']","['ramah', 'sesuai', 'senang']"
"['layan', 'ramah', 'fasilitas', 'menu', 'sarap', 'lengkap', 'enak', 'pokok']","['ramah', 'enak']"
"['layan', 'fasilitas', 'menu', 'makan', 'sangat', 'muas', 'jadi', 'tempat', 'inap', 'baik', 'tugas', 'kantor', 'sama', 'keluarga']",['baik']
"['ramah', 'kamar', 'luas', 'nyaman', 'makan', 'enak']","['ramah', 'nyaman', 'enak']"
"['hotel', 'bagus', 'lokasi', 'sedikit', 'jauh', 'keraton', 'jadi', 'ikon', 'kota', 'transportasi', 'sekitar', 'jadi', 'masalah', 'banyak', 'pilih', 'mahal', 'kamar', 'nyaman', 'panas', 'mandi']","['bagus', 'keraton', 'nyaman']"
"['sarap', 'pagi', 'sangat', 'enak', 'layan', 'sangat', 'baik', 'ramah']","['enak', 'baik', 'ramah']"
"['sini', 'sangat', 'staf', 'ramah', 'ramah', 'makan', 'enak', 'kamar', 'bersih']","['ramah', 'ramah', 'enak', 'bersih']"
"['kamar', 'bersih', 'siap', 'dingin', 'layan', 'cepat', 'front', 'ramah', 'sekali', 'lokasi', 'strategis', 'arah', 'mana', 'mudah', 'tuju', 'hotel', 'sebut', 'sangat', 'baik', 'perlu', 'kerja', 'maupun', 'libur', 'keluarga']","['bersih', 'ramah', 'baik']"
"['hotel', 'bersih', 'nyaman', 'layan', 'baik']","['bersih', 'nyaman', 'baik']"
"['layan', 'bagus', 'ramah', 'semua', 'tempat', 'bersih', 'higienis', 'nyaman', 'sekali']","['bagus', 'ramah', 'bersih', 'higienis', 'nyaman']"
"['inap', 'sangat', 'nyaman', 'mantap', 'terus']",['nyaman']
"['menu', 'sarap', 'enak', 'kamar', 'bantu', 'layan', 'lena']",['enak']
"['alam', 'sini', 'layan', 'sangat', 'kamar', 'bersih']",['bersih']
"['orang', 'salah', 'jajan', 'kantin', 'memang', 'karyawan', 'kata', 'jajan', 'keluar', 'jauh', 'beberapa', 'oknum', 'ramah']","['oknum', 'ramah']"
"['menu', 'sarap', 'pagi', 'sangat', 'baik', 'cukup', 'muas']",['baik']
"['hotel', 'enak', 'layan', 'ramah', 'sarap', 'pagi', 'enak']","['enak', 'ramah', 'enak']"
"['lima', 'hari', 'ikut', 'luar', 'biasa', 'layan', 'pihak', 'hotel', 'mulai', 'makan', 'kamar', 'hotel', 'bagai', 'sukses', 'selalu', 'buat']",[]
"['sarap', 'lengkap', 'rasa', 'enak', 'ruang', 'luas', 'bantu', 'lena']",['enak']
"['kamar', 'bersih', 'alat', 'komplit', 'menu', 'pilih', 'banyak', 'enak', 'enak']","['bersih', 'enak', 'enak']"
"['kamar', 'cukup', 'baik', 'fasilitas', 'lengkap', 'kamar', 'kurang', 'kencang', 'terlalu', 'dingin', 'walaupun', 'setel', 'suhu', 'paling', 'atas', 'mati', 'analog', 'digital', 'guna', 'sarap', 'cukup', 'variatif', 'lauk', 'lebih', 'lengkap', 'menu', 'daging']","['baik', 'kencang', 'analog', 'digital']"
"['alam', 'pertama', 'inap', 'sini', 'makan', 'layan', 'jempol', 'muas']",['jempol']
"['makan', 'enak', 'bagus', 'senang', 'inap', 'sini']","['enak', 'bagus', 'senang']"
"['hotel', 'sangat', 'bagus', 'kamar', 'luas', 'nyaman', 'restoran', 'punya', 'banyak', 'variasi', 'makan', 'lokasi', 'cukup', 'strategis']","['bagus', 'nyaman']"
