normalized,filtered
"['hotelnya', 'nyaman', 'sekali', 'pelayanannya', 'sangat', 'memuaskan', 'stafnya', 'ramah', 'kamar', 'bersih', 'dan', 'rapi', 'lokasinya', 'cukup', 'strategis', 'dipinggir', 'jalan', 'mudah', 'untuk', 'mengakses', 'kemanapun', 'tingkat', 'keamanan', 'hotel', 'sangat', 'baik', 'dan', 'memuaskan', 'karna', 'tidak', 'sembarang', 'orang', 'bisa', 'masuk', 'kamar']","['hotelnya', 'nyaman', 'sekali', 'pelayanannya', 'sangat', 'memuaskan', 'stafnya', 'ramah', 'kamar', 'bersih', 'rapi', 'lokasinya', 'cukup', 'strategis', 'dipinggir', 'jalan', 'mudah', 'mengakses', 'kemanapun', 'tingkat', 'keamanan', 'hotel', 'sangat', 'baik', 'memuaskan', 'karna', 'sembarang', 'orang', 'masuk', 'kamar']"
"['toilet', 'di', 'ruang', 'rapat', 'lt', 'nggk', 'bisa', 'dikunci', 'mushola', 'sempit', 'aroma', 'kurang', 'sedap', 'ya', 'b', 'saja', 'tapi', 'imo', 'nggk', 'worth', 'it', 'dengan', 'rate', 'segitu']","['toilet', 'ruang', 'rapat', 'lt', 'nggk', 'dikunci', 'mushola', 'sempit', 'aroma', 'kurang', 'sedap', 'b', 'imo', 'nggk', 'worth', 'it', 'rate', 'segitu']"
"['untuk', 'breakfast', 'lengkap', 'sangat', 'makanannya', 'enak', 'pool', 'pelayannann', 'bernama', 'lena', 'ramah', 'dan', 'baik']","['breakfast', 'lengkap', 'sangat', 'makanannya', 'enak', 'pool', 'pelayannann', 'bernama', 'lena', 'ramah', 'baik']"
"['pelayanan', 'ramah', 'variasi', 'sarapan', 'oke', 'lokasi', 'strategis']","['pelayanan', 'ramah', 'variasi', 'sarapan', 'oke', 'lokasi', 'strategis']"
"['untuk', 'sarapannya', 'lengkap', 'semuanya', 'ada', 'enak', 'saladnya', 'fresh', 'fres', 'lena']","['sarapannya', 'lengkap', 'semuanya', 'enak', 'saladnya', 'fresh', 'fres', 'lena']"
"['kren', 'top', 'markotop', 'menu', 'pelayanan', 'suupeer']","['kren', 'top', 'markotop', 'menu', 'pelayanan', 'suupeer']"
"['breakfast', 'alhamdulillah', 'enak']","['breakfast', 'alhamdulillah', 'enak']"
"['untuk', 'kamar', 'cukup', 'nyaman', 'pelayanan', 'juga', 'oke', 'banget']","['kamar', 'cukup', 'nyaman', 'pelayanan', 'oke', 'banget']"
"['saya', 'membooking', 'smpe', 'hr', 'dikamar', 'pertama', 'saya', 'komplain', 'krn', 'kamar', 'ad', 'suara', 'berdengung', 'kencang', 'jd', 'kami', 'tdk', 'bs', 'istrht', 'tenang', 'akhirnya', 'diupgrade', 'kmr', 'yang', 'lbh', 'besar', 'krn', 'kami', 'dtg', 'di', 'moment', 'lebaran', 'jd', 'kamar', 'sisa', 'ini', 'awal', 'saya', 'masuk', 'kamar', 'konsepnya', 'agak']","['membooking', 'smpe', 'hr', 'dikamar', 'pertama', 'komplain', 'krn', 'kamar', 'ad', 'suara', 'berdengung', 'kencang', 'jd', 'tdk', 'bs', 'istrht', 'tenang', 'akhirnya', 'diupgrade', 'kmr', 'lbh', 'besar', 'krn', 'dtg', 'moment', 'lebaran', 'jd', 'kamar', 'sisa', 'awal', 'masuk', 'kamar', 'konsepnya']"
"['sarapan', 'dan', 'pelayanannya', 'mantap', 'kamar', 'bersih', 'mba', 'juga', 'ramah', 'silvia']","['sarapan', 'pelayanannya', 'mantap', 'kamar', 'bersih', 'mba', 'ramah', 'silvia']"
"['ruang', 'rapatnya', 'besar', 'kamarnya', 'nyaman', 'lokasinya', 'strategis', 'dekat', 'tempat', 'kuliner', 'di', 'seberang', 'jalan', 'demangan', 'untuk', 'makanan', 'dan', 'minumannya', 'variasinya', 'menunya', 'boleh', 'ditambah', 'lagi', 'terima', 'kasih']","['ruang', 'rapatnya', 'besar', 'kamarnya', 'nyaman', 'lokasinya', 'strategis', 'dekat', 'tempat', 'kuliner', 'seberang', 'jalan', 'demangan', 'makanan', 'minumannya', 'variasinya', 'menunya', 'ditambah', 'terima', 'kasih']"
"['semoga', 'safe', 'deposit', 'boxnya', 'bisa', 'lebih', 'bagus', 'ya']","['semoga', 'safe', 'deposit', 'boxnya', 'lebih', 'bagus']"
"['sarapan', 'paginya', 'lengkap', 'dan', 'sangat', 'enak', 'layanan', 'atas', 'nama', 'fifin', 'baik', 'dan', 'ramah']","['sarapan', 'paginya', 'lengkap', 'sangat', 'enak', 'layanan', 'atas', 'nama', 'fifin', 'baik', 'ramah']"
"['lokasi', 'strategis', 'dekat', 'mall', 'dan', 'rumah', 'sakit', 'kamarnya', 'oke', 'ruang', 'meeting', 'banyak', 'dan', 'proper', 'snack', 'rapatnya', 'variatif', 'dan', 'enak', 'enak']","['lokasi', 'strategis', 'dekat', 'mall', 'rumah', 'sakit', 'kamarnya', 'oke', 'ruang', 'meeting', 'banyak', 'proper', 'snack', 'rapatnya', 'variatif', 'enak', 'enak']"
"['sarapan', 'sambil', 'bisa', 'menikmati', 'jalan', 'kenangan', 'semasa', 'kuliah']","['sarapan', 'menikmati', 'jalan', 'kenangan', 'semasa', 'kuliah']"
"['untuk', 'makanannya', 'lumayan', 'banyak', 'tetapi', 'untuk', 'kamar', 'tidak', 'sesuai', 'dengan', 'permintaan', 'tanpa', 'konfirmasi', 'terlebih', 'dahulu', 'dan', 'untuk', 'pelayanan', 'pada', 'saat', 'cek', 'in', 'pelayanannya', 'kurang']","['makanannya', 'lumayan', 'banyak', 'kamar', 'sesuai', 'permintaan', 'konfirmasi', 'terlebih', 'pelayanan', 'cek', 'in', 'pelayanannya', 'kurang']"
